,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,R2 Score
Student Portuguese [stdModel] - [le-std feature - ori target],1.3230124403132484,3.1436045700555866,1.7730213112243143,0.6776357537806157
Student Portuguese [stdModel] - [ohe feature - ori target],0.8944393558627404,1.830274626445543,1.3528764268940245,0.8123125580269309
Student Portuguese [stdModel] - [ohe-norm feature - ori target],0.9181691388741849,1.915418025924142,1.3839862809739634,0.8035814383260236
Student Portuguese [stdModel] - [ohe-std feature - ori target],1.4207559386762079,3.778182595475574,1.9437547673190603,0.6125622808697775
Student Portuguese [stdModel] - [le feature - le target],0.8136115853733142,1.559425604941704,1.2487696364589043,0.8400870566035121
Student Portuguese [stdModel] - [le-norm feature - le target],0.9066770393545821,1.7891618729160492,1.3375955565551378,0.8165285086995386
Student Portuguese [stdModel] - [le-std feature - le target],1.3230124403132484,3.1436045700555866,1.7730213112243143,0.6776357537806157
Student Portuguese [stdModel] - [ohe feature - ohe target],0.8944393558627404,1.830274626445543,1.3528764268940245,0.8123125580269309
Student Portuguese [stdModel] - [ohe-norm feature - ohe target],0.9181691388741849,1.915418025924142,1.3839862809739634,0.8035814383260236
Student Portuguese [stdModel] - [ohe-std feature - ohe target],1.4207559386762079,3.778182595475574,1.9437547673190603,0.6125622808697775
Wine Red [standardModel] - [ori feature - ori target],0.537641127585751,0.44282794441154144,0.6654531872427553,0.3223810650526481
Wine Red [standardModel] - [norm feature - norm target],0.10376553002388449,0.016194968931233844,0.12725945517419854,0.3804581589091496
Wine Red [standardModel] - [std feature - std target],0.6295629418670403,0.5858695423325573,0.7654211535700834,0.41569514075007996
Wine Red [standardModel] - [norm feature - ori target],0.505222454920377,0.3930554783303934,0.6269413675379807,0.3985432988981862
Wine Red [standardModel] - [std feature - ori target],0.48211367853980003,0.357219748003211,0.5976786327142798,0.45337942593988545
Wine White [standardModel] - [ori feature - ori target],0.5909868775813667,0.5908498454044222,0.768667577958393,0.23709446100530918
Wine White [standardModel] - [norm feature - norm target],0.09628094205794221,0.014604561671874293,0.12084933459425538,0.3211330443664586
Wine White [standardModel] - [std feature - std target],0.6384482085802899,0.6557630715933018,0.8097919927940148,0.33600475350377634
Wine White [standardModel] - [norm feature - ori target],0.5920831377569645,0.5806702005576091,0.762017191773,0.2502384221978804
Wine White [standardModel] - [std feature - ori target],0.5500468290870643,0.4953057559255313,0.703779621703791,0.3604610246908053
Student Math [standardModel] - [le feature - ori target],1.4648165173951913,5.407882100739072,2.3254853473498973,0.7362658066552641
Student Math [standardModel] - [le-norm feature - ori target],1.7062605649511866,5.577795265329275,2.361735646792264,0.7279793997833901
Student Math [standardModel] - [le-std feature - ori target],2.302082453240574,9.069732556662174,3.011599667396411,0.5576829237166832
Student Math [standardModel] - [ohe feature - ori target],1.4818086960201096,5.920435074051105,2.4331944176434206,0.7112693769171933
Student Math [standardModel] - [ohe-norm feature - ori target],1.8140933584727603,6.2322696743351,2.4964514163778753,0.696061677261234
Student Math [standardModel] - [ohe-std feature - ori target],2.359277748983822,9.449214643814027,3.0739574889406045,0.5391761589094228
Student Math [standardModel] - [le feature - le target],1.4648165173951913,5.407882100739072,2.3254853473498973,0.7362658066552641
Student Math [standardModel] - [le-norm feature - le target],1.7062605649511866,5.577795265329275,2.361735646792264,0.7279793997833901
Student Math [standardModel] - [le-std feature - le target],2.302082453240574,9.069732556662174,3.011599667396411,0.5576829237166832
Student Math [standardModel] - [ohe feature - ohe target],1.4818086960201096,5.920435074051105,2.4331944176434206,0.7112693769171933
Student Math [standardModel] - [ohe-norm feature - ohe target],1.8140933584727603,6.2322696743351,2.4964514163778753,0.696061677261234
Student Math [standardModel] - [ohe-std feature - ohe target],2.359277748983822,9.449214643814027,3.0739574889406045,0.5391761589094228
Student Portuguese [standardModel] - [le feature - ori target],0.779711754666075,1.5782448846247572,1.2562821675980111,0.8381572137195796
Student Portuguese [standardModel] - [le-norm feature - ori target],0.9470704413404476,1.9451172560366208,1.3946746057904047,0.8005358994501415
Student Portuguese [standardModel] - [le-std feature - ori target],1.3869762411806068,3.3733139181657967,1.8366583564086698,0.6540799664025025
Student Portuguese [standardModel] - [ohe feature - ori target],0.8728736970647608,1.7408882503999217,1.3194272433142806,0.8214787782350024
Student Portuguese [standardModel] - [ohe-norm feature - ori target],1.014204795135084,2.1246798116637,1.4576281458807316,0.7821224677974046
Student Portuguese [standardModel] - [ohe-std feature - ori target],1.395113033401268,3.0957593379639907,1.7594770069438221,0.6825420935681692
Student Portuguese [standardModel] - [le feature - le target],0.779711754666075,1.5782448846247572,1.2562821675980111,0.8381572137195796
Student Portuguese [standardModel] - [le-norm feature - le target],0.9470704413404476,1.9451172560366208,1.3946746057904047,0.8005358994501415
Student Portuguese [standardModel] - [le-std feature - le target],1.3869762411806068,3.3733139181657967,1.8366583564086698,0.6540799664025025
Student Portuguese [standardModel] - [ohe feature - ohe target],0.8728736970647608,1.7408882503999217,1.3194272433142806,0.8214787782350024
Student Portuguese [standardModel] - [ohe-norm feature - ohe target],1.014204795135084,2.1246798116637,1.4576281458807316,0.7821224677974046
Student Portuguese [standardModel] - [ohe-std feature - ohe target],1.395113033401268,3.0957593379639907,1.7594770069438221,0.6825420935681692
